context,question,answer,lang
The Opera House is one of the most visited places in Paris.,Can you tell me about the Opera House?,The Opera House is one of the most visited places in Paris.,en
The Opera House is located in London.,Where is the Opera House?,London,en
The Tokyo Tower is known for its history in Berlin.,Can you tell me about the Tokyo Tower?,The Tokyo Tower is known for its history in Berlin.,en
স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত বেইজিং।,স্ট্যাচু অফ লিবার্টি বিশেষ কী?,স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত বেইজিং।,bn
The Red Fort is a tourist attraction in Moscow.,What makes the Red Fort special?,The Red Fort is a tourist attraction in Moscow.,en
লাল কেল্লা এর ইতিহাসের জন্য পরিচিত সিডনি।,লাল কেল্লা কি?,লাল কেল্লা এর ইতিহাসের জন্য পরিচিত সিডনি।,bn
বিগ বেন একটি বিখ্যাত নিদর্শন যা অবস্থিত নিউ ইয়র্ক।,বিগ বেন কি?,বিগ বেন একটি বিখ্যাত নিদর্শন যা অবস্থিত নিউ ইয়র্ক।,bn
দ্য গ্রেট ওয়াল অবস্থিত মস্কো।,দ্য গ্রেট ওয়াল কোথায় অবস্থিত?,মস্কো,bn
টোকিও টাওয়ার এর ইতিহাসের জন্য পরিচিত দিল্লি।,টোকিও টাওয়ার বিশেষ কী?,টোকিও টাওয়ার এর ইতিহাসের জন্য পরিচিত দিল্লি।,bn
The Red Fort is a famous landmark in Rome.,Where is the Red Fort?,Rome,en
ক্রেমলিন একটি পর্যটন আকর্ষণ যা অবস্থিত সিডনি।,ক্রেমলিন সম্পর্কে কিছু বলুন।,ক্রেমলিন একটি পর্যটন আকর্ষণ যা অবস্থিত সিডনি।,bn
ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি নিউ ইয়র্ক।,ক্রেমলিন কেন বিখ্যাত?,ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি নিউ ইয়র্ক।,bn
The Kremlin is one of the most visited places in London.,What makes the Kremlin special?,The Kremlin is one of the most visited places in London.,en
ব্রান্ডেনবার্গ গেট একটি বিখ্যাত নিদর্শন যা অবস্থিত বেইজিং।,ব্রান্ডেনবার্গ গেট কোথায় অবস্থিত?,বেইজিং,bn
লাল কেল্লা অবস্থিত রোম।,লাল কেল্লা কেন বিখ্যাত?,লাল কেল্লা অবস্থিত রোম।,bn
The Great Wall is known for its history in Delhi.,What makes the Great Wall special?,The Great Wall is known for its history in Delhi.,en
The Colosseum is located in Moscow.,Where is the Colosseum?,Moscow,en
কলোসিয়াম এর ইতিহাসের জন্য পরিচিত সিডনি।,কলোসিয়াম কোন শহরে অবস্থিত?,সিডনি,bn
দ্য গ্রেট ওয়াল একটি বিখ্যাত নিদর্শন যা অবস্থিত সিডনি।,দ্য গ্রেট ওয়াল বিশেষ কী?,দ্য গ্রেট ওয়াল একটি বিখ্যাত নিদর্শন যা অবস্থিত সিডনি।,bn
The Opera House is one of the most visited places in Rome.,Where is the Opera House?,Rome,en
The Great Wall is one of the most visited places in Berlin.,Why is the Great Wall famous?,The Great Wall is one of the most visited places in Berlin.,en
কলোসিয়াম অবস্থিত প্যারিস।,কলোসিয়াম বিশেষ কী?,কলোসিয়াম অবস্থিত প্যারিস।,bn
স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত সিডনি।,স্ট্যাচু অফ লিবার্টি কি?,স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত সিডনি।,bn
কলোসিয়াম সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি রোম।,কলোসিয়াম কি?,কলোসিয়াম সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি রোম।,bn
The Red Fort is located in Paris.,In which city is the Red Fort located?,Paris,en
The Kremlin is one of the most visited places in New York.,Why is the Kremlin famous?,The Kremlin is one of the most visited places in New York.,en
The Statue of Liberty is one of the most visited places in London.,Can you tell me about the Statue of Liberty?,The Statue of Liberty is one of the most visited places in London.,en
অপেরা হাউস অবস্থিত বেইজিং।,অপেরা হাউস বিশেষ কী?,অপেরা হাউস অবস্থিত বেইজিং।,bn
The Tokyo Tower is a famous landmark in Paris.,Why is the Tokyo Tower famous?,The Tokyo Tower is a famous landmark in Paris.,en
The Great Wall is a famous landmark in Paris.,Where is the Great Wall?,Paris,en
The Colosseum is known for its history in Beijing.,What is the Colosseum?,The Colosseum is known for its history in Beijing.,en
টোকিও টাওয়ার এর ইতিহাসের জন্য পরিচিত নিউ ইয়র্ক।,টোকিও টাওয়ার কোথায় অবস্থিত?,নিউ ইয়র্ক,bn
ব্রান্ডেনবার্গ গেট এর ইতিহাসের জন্য পরিচিত রোম।,ব্রান্ডেনবার্গ গেট বিশেষ কী?,ব্রান্ডেনবার্গ গেট এর ইতিহাসের জন্য পরিচিত রোম।,bn
The Kremlin is a tourist attraction in London.,Why is the Kremlin famous?,The Kremlin is a tourist attraction in London.,en
The Big Ben is located in New York.,Can you tell me about the Big Ben?,The Big Ben is located in New York.,en
ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,ক্রেমলিন বিশেষ কী?,ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,bn
The Opera House is known for its history in Beijing.,What makes the Opera House special?,The Opera House is known for its history in Beijing.,en
অপেরা হাউস একটি বিখ্যাত নিদর্শন যা অবস্থিত মস্কো।,অপেরা হাউস কি?,অপেরা হাউস একটি বিখ্যাত নিদর্শন যা অবস্থিত মস্কো।,bn
বিগ বেন অবস্থিত নিউ ইয়র্ক।,বিগ বেন বিশেষ কী?,বিগ বেন অবস্থিত নিউ ইয়র্ক।,bn
আইফেল টাওয়ার এর ইতিহাসের জন্য পরিচিত নিউ ইয়র্ক।,আইফেল টাওয়ার কোথায় অবস্থিত?,নিউ ইয়র্ক,bn
The Kremlin is a tourist attraction in Rome.,Can you tell me about the Kremlin?,The Kremlin is a tourist attraction in Rome.,en
দ্য গ্রেট ওয়াল সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি দিল্লি।,দ্য গ্রেট ওয়াল কি?,দ্য গ্রেট ওয়াল সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি দিল্লি।,bn
কলোসিয়াম সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি দিল্লি।,কলোসিয়াম কোন শহরে অবস্থিত?,দিল্লি,bn
The Colosseum is a tourist attraction in New York.,Why is the Colosseum famous?,The Colosseum is a tourist attraction in New York.,en
The Kremlin is a tourist attraction in Delhi.,What is the Kremlin?,The Kremlin is a tourist attraction in Delhi.,en
স্ট্যাচু অফ লিবার্টি সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি লন্ডন।,স্ট্যাচু অফ লিবার্টি কি?,স্ট্যাচু অফ লিবার্টি সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি লন্ডন।,bn
দ্য গ্রেট ওয়াল একটি পর্যটন আকর্ষণ যা অবস্থিত প্যারিস।,দ্য গ্রেট ওয়াল কি?,দ্য গ্রেট ওয়াল একটি পর্যটন আকর্ষণ যা অবস্থিত প্যারিস।,bn
আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি লন্ডন।,আইফেল টাওয়ার বিশেষ কী?,আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি লন্ডন।,bn
The Brandenburg Gate is located in Berlin.,What makes the Brandenburg Gate special?,The Brandenburg Gate is located in Berlin.,en
ব্রান্ডেনবার্গ গেট এর ইতিহাসের জন্য পরিচিত লন্ডন।,ব্রান্ডেনবার্গ গেট সম্পর্কে কিছু বলুন।,ব্রান্ডেনবার্গ গেট এর ইতিহাসের জন্য পরিচিত লন্ডন।,bn
The Red Fort is known for its history in New York.,Can you tell me about the Red Fort?,The Red Fort is known for its history in New York.,en
বিগ বেন এর ইতিহাসের জন্য পরিচিত লন্ডন।,বিগ বেন কোথায় অবস্থিত?,লন্ডন,bn
The Red Fort is known for its history in Berlin.,In which city is the Red Fort located?,Berlin,en
The Brandenburg Gate is a famous landmark in Berlin.,What makes the Brandenburg Gate special?,The Brandenburg Gate is a famous landmark in Berlin.,en
টোকিও টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি মস্কো।,টোকিও টাওয়ার কেন বিখ্যাত?,টোকিও টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি মস্কো।,bn
আইফেল টাওয়ার এর ইতিহাসের জন্য পরিচিত মস্কো।,আইফেল টাওয়ার কেন বিখ্যাত?,আইফেল টাওয়ার এর ইতিহাসের জন্য পরিচিত মস্কো।,bn
টোকিও টাওয়ার একটি বিখ্যাত নিদর্শন যা অবস্থিত বেইজিং।,টোকিও টাওয়ার সম্পর্কে কিছু বলুন।,টোকিও টাওয়ার একটি বিখ্যাত নিদর্শন যা অবস্থিত বেইজিং।,bn
ব্রান্ডেনবার্গ গেট একটি বিখ্যাত নিদর্শন যা অবস্থিত লন্ডন।,ব্রান্ডেনবার্গ গেট কোন শহরে অবস্থিত?,লন্ডন,bn
কলোসিয়াম সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বেইজিং।,কলোসিয়াম বিশেষ কী?,কলোসিয়াম সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বেইজিং।,bn
The Brandenburg Gate is a famous landmark in Moscow.,Why is the Brandenburg Gate famous?,The Brandenburg Gate is a famous landmark in Moscow.,en
স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত মস্কো।,স্ট্যাচু অফ লিবার্টি সম্পর্কে কিছু বলুন।,স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত মস্কো।,bn
আইফেল টাওয়ার এর ইতিহাসের জন্য পরিচিত সিডনি।,আইফেল টাওয়ার কোথায় অবস্থিত?,সিডনি,bn
The Tokyo Tower is located in Berlin.,Why is the Tokyo Tower famous?,The Tokyo Tower is located in Berlin.,en
ক্রেমলিন একটি বিখ্যাত নিদর্শন যা অবস্থিত মস্কো।,ক্রেমলিন সম্পর্কে কিছু বলুন।,ক্রেমলিন একটি বিখ্যাত নিদর্শন যা অবস্থিত মস্কো।,bn
The Colosseum is a famous landmark in New York.,Where is the Colosseum?,New York,en
দ্য গ্রেট ওয়াল অবস্থিত টোকিও।,দ্য গ্রেট ওয়াল সম্পর্কে কিছু বলুন।,দ্য গ্রেট ওয়াল অবস্থিত টোকিও।,bn
স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত বেইজিং।,স্ট্যাচু অফ লিবার্টি কি?,স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত বেইজিং।,bn
The Statue of Liberty is located in Beijing.,Where is the Statue of Liberty?,Beijing,en
The Great Wall is a famous landmark in Paris.,Where is the Great Wall?,Paris,en
The Kremlin is a famous landmark in Moscow.,What makes the Kremlin special?,The Kremlin is a famous landmark in Moscow.,en
আইফেল টাওয়ার এর ইতিহাসের জন্য পরিচিত বার্লিন।,আইফেল টাওয়ার কি?,আইফেল টাওয়ার এর ইতিহাসের জন্য পরিচিত বার্লিন।,bn
The Tokyo Tower is known for its history in Tokyo.,Why is the Tokyo Tower famous?,The Tokyo Tower is known for its history in Tokyo.,en
টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত সিডনি।,টোকিও টাওয়ার বিশেষ কী?,টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত সিডনি।,bn
আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি মস্কো।,আইফেল টাওয়ার কি?,আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি মস্কো।,bn
কলোসিয়াম সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি দিল্লি।,কলোসিয়াম সম্পর্কে কিছু বলুন।,কলোসিয়াম সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি দিল্লি।,bn
লাল কেল্লা একটি পর্যটন আকর্ষণ যা অবস্থিত লন্ডন।,লাল কেল্লা কোথায় অবস্থিত?,লন্ডন,bn
স্ট্যাচু অফ লিবার্টি একটি পর্যটন আকর্ষণ যা অবস্থিত বার্লিন।,স্ট্যাচু অফ লিবার্টি কোথায় অবস্থিত?,বার্লিন,bn
লাল কেল্লা এর ইতিহাসের জন্য পরিচিত মস্কো।,লাল কেল্লা কোথায় অবস্থিত?,মস্কো,bn
The Kremlin is known for its history in Berlin.,What is the Kremlin?,The Kremlin is known for its history in Berlin.,en
অপেরা হাউস একটি বিখ্যাত নিদর্শন যা অবস্থিত বেইজিং।,অপেরা হাউস বিশেষ কী?,অপেরা হাউস একটি বিখ্যাত নিদর্শন যা অবস্থিত বেইজিং।,bn
আইফেল টাওয়ার অবস্থিত লন্ডন।,আইফেল টাওয়ার কেন বিখ্যাত?,আইফেল টাওয়ার অবস্থিত লন্ডন।,bn
The Eiffel Tower is located in Rome.,Where is the Eiffel Tower?,Rome,en
দ্য গ্রেট ওয়াল এর ইতিহাসের জন্য পরিচিত দিল্লি।,দ্য গ্রেট ওয়াল কোন শহরে অবস্থিত?,দিল্লি,bn
কলোসিয়াম অবস্থিত মস্কো।,কলোসিয়াম কেন বিখ্যাত?,কলোসিয়াম অবস্থিত মস্কো।,bn
দ্য গ্রেট ওয়াল একটি পর্যটন আকর্ষণ যা অবস্থিত নিউ ইয়র্ক।,দ্য গ্রেট ওয়াল সম্পর্কে কিছু বলুন।,দ্য গ্রেট ওয়াল একটি পর্যটন আকর্ষণ যা অবস্থিত নিউ ইয়র্ক।,bn
বিগ বেন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি সিডনি।,বিগ বেন কোন শহরে অবস্থিত?,সিডনি,bn
কলোসিয়াম অবস্থিত মস্কো।,কলোসিয়াম বিশেষ কী?,কলোসিয়াম অবস্থিত মস্কো।,bn
কলোসিয়াম অবস্থিত সিডনি।,কলোসিয়াম কোন শহরে অবস্থিত?,সিডনি,bn
The Great Wall is known for its history in Moscow.,Can you tell me about the Great Wall?,The Great Wall is known for its history in Moscow.,en
দ্য গ্রেট ওয়াল অবস্থিত বেইজিং।,দ্য গ্রেট ওয়াল কি?,দ্য গ্রেট ওয়াল অবস্থিত বেইজিং।,bn
The Red Fort is a famous landmark in New York.,Why is the Red Fort famous?,The Red Fort is a famous landmark in New York.,en
The Great Wall is located in Delhi.,Why is the Great Wall famous?,The Great Wall is located in Delhi.,en
The Big Ben is located in Berlin.,What makes the Big Ben special?,The Big Ben is located in Berlin.,en
স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত লন্ডন।,স্ট্যাচু অফ লিবার্টি কেন বিখ্যাত?,স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত লন্ডন।,bn
The Eiffel Tower is one of the most visited places in New York.,Why is the Eiffel Tower famous?,The Eiffel Tower is one of the most visited places in New York.,en
The Great Wall is a tourist attraction in Moscow.,What is the Great Wall?,The Great Wall is a tourist attraction in Moscow.,en
The Statue of Liberty is a famous landmark in Beijing.,Can you tell me about the Statue of Liberty?,The Statue of Liberty is a famous landmark in Beijing.,en
ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি রোম।,ক্রেমলিন সম্পর্কে কিছু বলুন।,ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি রোম।,bn
The Kremlin is located in Delhi.,Can you tell me about the Kremlin?,The Kremlin is located in Delhi.,en
লাল কেল্লা একটি বিখ্যাত নিদর্শন যা অবস্থিত টোকিও।,লাল কেল্লা কোথায় অবস্থিত?,টোকিও,bn
The Tokyo Tower is a famous landmark in New York.,Why is the Tokyo Tower famous?,The Tokyo Tower is a famous landmark in New York.,en
The Red Fort is one of the most visited places in Moscow.,What makes the Red Fort special?,The Red Fort is one of the most visited places in Moscow.,en
কলোসিয়াম অবস্থিত দিল্লি।,কলোসিয়াম সম্পর্কে কিছু বলুন।,কলোসিয়াম অবস্থিত দিল্লি।,bn
আইফেল টাওয়ার অবস্থিত মস্কো।,আইফেল টাওয়ার কোথায় অবস্থিত?,মস্কো,bn
বিগ বেন অবস্থিত প্যারিস।,বিগ বেন কোন শহরে অবস্থিত?,প্যারিস,bn
অপেরা হাউস এর ইতিহাসের জন্য পরিচিত রোম।,অপেরা হাউস কোন শহরে অবস্থিত?,রোম,bn
The Colosseum is a tourist attraction in Moscow.,What is the Colosseum?,The Colosseum is a tourist attraction in Moscow.,en
অপেরা হাউস একটি পর্যটন আকর্ষণ যা অবস্থিত প্যারিস।,অপেরা হাউস বিশেষ কী?,অপেরা হাউস একটি পর্যটন আকর্ষণ যা অবস্থিত প্যারিস।,bn
টোকিও টাওয়ার এর ইতিহাসের জন্য পরিচিত নিউ ইয়র্ক।,টোকিও টাওয়ার কোথায় অবস্থিত?,নিউ ইয়র্ক,bn
The Big Ben is a famous landmark in Rome.,What is the Big Ben?,The Big Ben is a famous landmark in Rome.,en
ক্রেমলিন এর ইতিহাসের জন্য পরিচিত বার্লিন।,ক্রেমলিন সম্পর্কে কিছু বলুন।,ক্রেমলিন এর ইতিহাসের জন্য পরিচিত বার্লিন।,bn
ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি লন্ডন।,ক্রেমলিন কি?,ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি লন্ডন।,bn
The Great Wall is known for its history in Berlin.,In which city is the Great Wall located?,Berlin,en
The Statue of Liberty is a famous landmark in New York.,What makes the Statue of Liberty special?,The Statue of Liberty is a famous landmark in New York.,en
The Great Wall is a tourist attraction in Rome.,Where is the Great Wall?,Rome,en
The Eiffel Tower is one of the most visited places in Delhi.,Can you tell me about the Eiffel Tower?,The Eiffel Tower is one of the most visited places in Delhi.,en
The Colosseum is known for its history in Tokyo.,Why is the Colosseum famous?,The Colosseum is known for its history in Tokyo.,en
বিগ বেন অবস্থিত প্যারিস।,বিগ বেন কোথায় অবস্থিত?,প্যারিস,bn
অপেরা হাউস একটি বিখ্যাত নিদর্শন যা অবস্থিত দিল্লি।,অপেরা হাউস কেন বিখ্যাত?,অপেরা হাউস একটি বিখ্যাত নিদর্শন যা অবস্থিত দিল্লি।,bn
ক্রেমলিন এর ইতিহাসের জন্য পরিচিত লন্ডন।,ক্রেমলিন বিশেষ কী?,ক্রেমলিন এর ইতিহাসের জন্য পরিচিত লন্ডন।,bn
The Red Fort is a tourist attraction in Sydney.,Can you tell me about the Red Fort?,The Red Fort is a tourist attraction in Sydney.,en
The Statue of Liberty is known for its history in Tokyo.,Can you tell me about the Statue of Liberty?,The Statue of Liberty is known for its history in Tokyo.,en
ক্রেমলিন একটি বিখ্যাত নিদর্শন যা অবস্থিত প্যারিস।,ক্রেমলিন কোথায় অবস্থিত?,প্যারিস,bn
The Tokyo Tower is a tourist attraction in Delhi.,In which city is the Tokyo Tower located?,Delhi,en
The Statue of Liberty is known for its history in London.,In which city is the Statue of Liberty located?,London,en
টোকিও টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বেইজিং।,টোকিও টাওয়ার বিশেষ কী?,টোকিও টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বেইজিং।,bn
দ্য গ্রেট ওয়াল সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি সিডনি।,দ্য গ্রেট ওয়াল বিশেষ কী?,দ্য গ্রেট ওয়াল সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি সিডনি।,bn
ক্রেমলিন অবস্থিত নিউ ইয়র্ক।,ক্রেমলিন বিশেষ কী?,ক্রেমলিন অবস্থিত নিউ ইয়র্ক।,bn
বিগ বেন একটি পর্যটন আকর্ষণ যা অবস্থিত বেইজিং।,বিগ বেন কোথায় অবস্থিত?,বেইজিং,bn
টোকিও টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি সিডনি।,টোকিও টাওয়ার কোন শহরে অবস্থিত?,সিডনি,bn
কলোসিয়াম অবস্থিত সিডনি।,কলোসিয়াম কি?,কলোসিয়াম অবস্থিত সিডনি।,bn
The Opera House is a famous landmark in Rome.,What makes the Opera House special?,The Opera House is a famous landmark in Rome.,en
ব্রান্ডেনবার্গ গেট অবস্থিত দিল্লি।,ব্রান্ডেনবার্গ গেট কোন শহরে অবস্থিত?,দিল্লি,bn
The Kremlin is known for its history in Delhi.,Where is the Kremlin?,Delhi,en
The Big Ben is known for its history in Moscow.,What makes the Big Ben special?,The Big Ben is known for its history in Moscow.,en
The Red Fort is a tourist attraction in New York.,Where is the Red Fort?,New York,en
আইফেল টাওয়ার একটি বিখ্যাত নিদর্শন যা অবস্থিত বার্লিন।,আইফেল টাওয়ার সম্পর্কে কিছু বলুন।,আইফেল টাওয়ার একটি বিখ্যাত নিদর্শন যা অবস্থিত বার্লিন।,bn
টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত প্যারিস।,টোকিও টাওয়ার কোন শহরে অবস্থিত?,প্যারিস,bn
The Colosseum is a famous landmark in Delhi.,What makes the Colosseum special?,The Colosseum is a famous landmark in Delhi.,en
লাল কেল্লা অবস্থিত দিল্লি।,লাল কেল্লা কি?,লাল কেল্লা অবস্থিত দিল্লি।,bn
The Great Wall is a famous landmark in Tokyo.,Why is the Great Wall famous?,The Great Wall is a famous landmark in Tokyo.,en
The Tokyo Tower is one of the most visited places in London.,Where is the Tokyo Tower?,London,en
আইফেল টাওয়ার এর ইতিহাসের জন্য পরিচিত দিল্লি।,আইফেল টাওয়ার কেন বিখ্যাত?,আইফেল টাওয়ার এর ইতিহাসের জন্য পরিচিত দিল্লি।,bn
The Tokyo Tower is a famous landmark in Berlin.,In which city is the Tokyo Tower located?,Berlin,en
The Big Ben is a tourist attraction in Rome.,Why is the Big Ben famous?,The Big Ben is a tourist attraction in Rome.,en
ক্রেমলিন একটি বিখ্যাত নিদর্শন যা অবস্থিত নিউ ইয়র্ক।,ক্রেমলিন কোন শহরে অবস্থিত?,নিউ ইয়র্ক,bn
The Kremlin is a famous landmark in Beijing.,Why is the Kremlin famous?,The Kremlin is a famous landmark in Beijing.,en
আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি লন্ডন।,আইফেল টাওয়ার কি?,আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি লন্ডন।,bn
ব্রান্ডেনবার্গ গেট একটি বিখ্যাত নিদর্শন যা অবস্থিত দিল্লি।,ব্রান্ডেনবার্গ গেট সম্পর্কে কিছু বলুন।,ব্রান্ডেনবার্গ গেট একটি বিখ্যাত নিদর্শন যা অবস্থিত দিল্লি।,bn
দ্য গ্রেট ওয়াল এর ইতিহাসের জন্য পরিচিত বার্লিন।,দ্য গ্রেট ওয়াল বিশেষ কী?,দ্য গ্রেট ওয়াল এর ইতিহাসের জন্য পরিচিত বার্লিন।,bn
The Colosseum is known for its history in Beijing.,Why is the Colosseum famous?,The Colosseum is known for its history in Beijing.,en
The Eiffel Tower is a tourist attraction in London.,Can you tell me about the Eiffel Tower?,The Eiffel Tower is a tourist attraction in London.,en
স্ট্যাচু অফ লিবার্টি একটি পর্যটন আকর্ষণ যা অবস্থিত মস্কো।,স্ট্যাচু অফ লিবার্টি কি?,স্ট্যাচু অফ লিবার্টি একটি পর্যটন আকর্ষণ যা অবস্থিত মস্কো।,bn
কলোসিয়াম এর ইতিহাসের জন্য পরিচিত রোম।,কলোসিয়াম কি?,কলোসিয়াম এর ইতিহাসের জন্য পরিচিত রোম।,bn
The Colosseum is a famous landmark in Tokyo.,Can you tell me about the Colosseum?,The Colosseum is a famous landmark in Tokyo.,en
ক্রেমলিন একটি বিখ্যাত নিদর্শন যা অবস্থিত টোকিও।,ক্রেমলিন বিশেষ কী?,ক্রেমলিন একটি বিখ্যাত নিদর্শন যা অবস্থিত টোকিও।,bn
The Eiffel Tower is known for its history in New York.,Can you tell me about the Eiffel Tower?,The Eiffel Tower is known for its history in New York.,en
The Kremlin is a tourist attraction in Tokyo.,What makes the Kremlin special?,The Kremlin is a tourist attraction in Tokyo.,en
The Red Fort is known for its history in New York.,Where is the Red Fort?,New York,en
অপেরা হাউস সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,অপেরা হাউস কি?,অপেরা হাউস সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,bn
The Colosseum is one of the most visited places in London.,Can you tell me about the Colosseum?,The Colosseum is one of the most visited places in London.,en
The Red Fort is one of the most visited places in Beijing.,What is the Red Fort?,The Red Fort is one of the most visited places in Beijing.,en
The Opera House is one of the most visited places in Berlin.,Why is the Opera House famous?,The Opera House is one of the most visited places in Berlin.,en
The Brandenburg Gate is located in Moscow.,In which city is the Brandenburg Gate located?,Moscow,en
The Statue of Liberty is known for its history in Moscow.,Where is the Statue of Liberty?,Moscow,en
The Big Ben is located in Moscow.,Why is the Big Ben famous?,The Big Ben is located in Moscow.,en
The Great Wall is known for its history in Delhi.,Why is the Great Wall famous?,The Great Wall is known for its history in Delhi.,en
টোকিও টাওয়ার অবস্থিত বার্লিন।,টোকিও টাওয়ার কোথায় অবস্থিত?,বার্লিন,bn
অপেরা হাউস এর ইতিহাসের জন্য পরিচিত টোকিও।,অপেরা হাউস কেন বিখ্যাত?,অপেরা হাউস এর ইতিহাসের জন্য পরিচিত টোকিও।,bn
দ্য গ্রেট ওয়াল এর ইতিহাসের জন্য পরিচিত মস্কো।,দ্য গ্রেট ওয়াল কোন শহরে অবস্থিত?,মস্কো,bn
টোকিও টাওয়ার একটি বিখ্যাত নিদর্শন যা অবস্থিত সিডনি।,টোকিও টাওয়ার কোন শহরে অবস্থিত?,সিডনি,bn
ব্রান্ডেনবার্গ গেট অবস্থিত মস্কো।,ব্রান্ডেনবার্গ গেট বিশেষ কী?,ব্রান্ডেনবার্গ গেট অবস্থিত মস্কো।,bn
ক্রেমলিন অবস্থিত নিউ ইয়র্ক।,ক্রেমলিন বিশেষ কী?,ক্রেমলিন অবস্থিত নিউ ইয়র্ক।,bn
The Red Fort is one of the most visited places in Paris.,In which city is the Red Fort located?,Paris,en
The Tokyo Tower is located in London.,In which city is the Tokyo Tower located?,London,en
The Big Ben is known for its history in Beijing.,Can you tell me about the Big Ben?,The Big Ben is known for its history in Beijing.,en
ব্রান্ডেনবার্গ গেট একটি বিখ্যাত নিদর্শন যা অবস্থিত নিউ ইয়র্ক।,ব্রান্ডেনবার্গ গেট বিশেষ কী?,ব্রান্ডেনবার্গ গেট একটি বিখ্যাত নিদর্শন যা অবস্থিত নিউ ইয়র্ক।,bn
অপেরা হাউস সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,অপেরা হাউস কোথায় অবস্থিত?,বার্লিন,bn
The Colosseum is a tourist attraction in Berlin.,In which city is the Colosseum located?,Berlin,en
দ্য গ্রেট ওয়াল এর ইতিহাসের জন্য পরিচিত প্যারিস।,দ্য গ্রেট ওয়াল কেন বিখ্যাত?,দ্য গ্রেট ওয়াল এর ইতিহাসের জন্য পরিচিত প্যারিস।,bn
The Opera House is one of the most visited places in London.,What is the Opera House?,The Opera House is one of the most visited places in London.,en
The Tokyo Tower is a tourist attraction in London.,What is the Tokyo Tower?,The Tokyo Tower is a tourist attraction in London.,en
অপেরা হাউস অবস্থিত লন্ডন।,অপেরা হাউস কোথায় অবস্থিত?,লন্ডন,bn
The Brandenburg Gate is located in Paris.,Where is the Brandenburg Gate?,Paris,en
